bucket_15m,site_id,vo,activity,site,jobs,energy_wh,cfp_g,work,ncores
2026-03-10 00:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,689,1547.4694535852495,866.219432965609,24834971.687570784,77568
2026-03-10 00:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,242,366.5565148361818,201.07038313439693,9123932.799001304,26816
2026-03-10 00:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,367,374.24186810683744,209.1889957991886,13606192.435068918,40128
2026-03-10 00:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,793,3702.533744130687,2340.390395382122,26510720.87910714,86400
2026-03-10 01:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,913,1190.2158464622516,706.8452555393598,30915592.06167215,99456
2026-03-10 01:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,638,168.76126961446468,98.71821909579758,23378220.256644633,69568
2026-03-10 01:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,630,390.28996355714463,233.78804257134348,23594223.2540545,68352
2026-03-10 01:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,516,438.2985541413171,255.4702895392057,18826469.07125341,55936
2026-03-10 02:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,546,896.9092120388666,626.4642345152811,21072359.867624253,58944
2026-03-10 02:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,500,462.18195961527607,315.70330954938913,19182029.23765012,54912
2026-03-10 02:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2035,476.9489285390924,417.95009794036196,78416824.30297999,221568
2026-03-10 02:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1760,901.3718113711611,640.5402124641199,68099469.36927554,189568
2026-03-10 03:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1088,225.60376777600425,206.42001041793816,42119004.27778358,115584
2026-03-10 03:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2191,505.41998082196085,307.7558028313638,81572607.11785598,230720
2026-03-10 03:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1621,226.26181223262185,133.65156392321896,54799889.74290304,170112
2026-03-10 03:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,907,447.49661940156597,250.48502837046163,32357186.191775575,97536
2026-03-10 04:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,752,652.9380504583073,392.32857125547775,28129709.7873799,81216
2026-03-10 04:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,605,541.2590491832376,399.6382105763533,23285423.19981975,68160
2026-03-10 04:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,523,439.51839757038624,267.37746283445705,20052457.1377381,58112
2026-03-10 04:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,380,364.53805081642105,229.26000066915248,14215160.432315413,40576
2026-03-10 05:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1147,386.06366682009343,235.59889127750066,44504357.33660892,122624
2026-03-10 05:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1465,494.10471314450064,310.92820088548694,55860290.695652835,153216
2026-03-10 05:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1166,412.54874482155776,268.5525744762457,43038207.23524155,123520
2026-03-10 05:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2046,1017.6910836056403,827.2277072132445,77461047.61487247,223552
2026-03-10 06:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1613,2298.7237089944033,1959.5431546609175,62768101.82029321,175488
2026-03-10 06:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1060,2529.2592064254727,2472.7923937971364,38891562.92184608,112704
2026-03-10 06:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1327,2643.1523113000567,1932.5986280076302,50812035.12315444,142208
2026-03-10 06:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1247,1220.5981946177326,763.9960556930776,47534393.18617586,132352
2026-03-10 07:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,633,339.1329113308452,203.68386718763838,24619784.635177385,67584
2026-03-10 07:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,770,950.2378979722655,619.608545440908,29430167.61454151,80192
2026-03-10 07:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,531,407.49322999221283,352.8156079493069,20231431.1635215,55552
2026-03-10 07:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,679,359.4924227089315,266.35397458389906,26072769.59786021,76416
2026-03-10 08:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,411,256.15327851753307,148.58477851052476,16061402.312437965,45760
2026-03-10 08:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,475,235.61093872039453,134.72661202487376,17561608.637744054,53824
2026-03-10 08:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,624,300.66681053692105,253.90632455711494,24392279.05018611,69504
2026-03-10 08:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,520,265.2455754485524,151.03523006942498,20072043.96467289,57664
2026-03-10 09:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,637,434.8914488655172,319.6664829772168,25147271.84109196,69568
2026-03-10 09:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,572,468.75580830449354,264.5488604697853,22244129.08836856,63744
2026-03-10 09:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,655,644.9297395923453,394.36637987035857,26201936.91381161,72384
2026-03-10 09:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,610,391.63007609220676,206.26616868986835,23600089.610953204,67776
2026-03-10 10:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,621,326.69123795698613,244.37897290363253,24295643.23897414,70336
2026-03-10 10:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,932,406.1504567964105,211.24717015705892,35129004.3939011,98560
2026-03-10 10:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1144,594.4207806341492,376.29906515649594,44736912.237170465,122112
2026-03-10 10:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1307,1269.3910010532647,854.1937076375191,51012780.50115696,142848
2026-03-10 11:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,594,559.8454168477169,463.5734061816222,23171951.986557312,63552
2026-03-10 11:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1617,1160.246047751645,591.4838980794423,64271356.78472598,175040
2026-03-10 11:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,600,349.4344344501534,353.84705350386844,21507397.498232596,64064
2026-03-10 11:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,936,332.24225412944554,290.1124421215378,33456128.315823585,98816
2026-03-10 12:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1431,530.5068453586099,353.90458410806593,52568992.56701227,151616
2026-03-10 12:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,683,997.4790948813114,726.6511005162778,25161761.50895857,72000
2026-03-10 12:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,480,265.82582372493073,189.2958546718911,17016873.4721761,48448
2026-03-10 12:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,361,204.53545308810706,103.03526464407878,13529721.872659087,36928
2026-03-10 13:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,835,210.0138561741095,98.47566666014878,32889739.270859085,88576
2026-03-10 13:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1202,401.00566319178154,215.36763667397088,48507394.916972324,129536
2026-03-10 13:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1519,642.3350039094612,377.71715329627244,60508175.352721795,162880
2026-03-10 13:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2294,1959.969069079818,2645.475815050597,89592856.68140973,248576
2026-03-10 14:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1285,763.3292973762965,782.894731104548,52033282.81581,141824
2026-03-10 14:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1273,829.9706404929759,528.9524579673293,51172710.608357735,137472
2026-03-10 14:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,747,160.9597085775282,147.61246450482702,28015577.257354658,80640
2026-03-10 14:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1289,274.97593164170587,172.33908376503422,45249227.04842287,135040
2026-03-10 15:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1665,525.281665759279,921.7039747100138,56488845.59368059,176704
2026-03-10 15:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1339,506.2255184988426,821.9070215528196,47583250.80598375,143744
2026-03-10 15:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,972,666.7832701051025,777.2747954997444,36420273.65816416,102656
2026-03-10 15:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,867,498.83850549006286,603.4319468977828,31963785.743106037,89536
2026-03-10 16:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1390,883.7362639904829,1268.6331205926365,53534686.985738724,152640
2026-03-10 16:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,962,822.6673280752508,836.9667937247152,35337099.79905439,104384
2026-03-10 16:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1278,935.437677894904,782.0319421552946,45094132.18623119,138816
2026-03-10 16:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1076,683.6985517591768,692.0900973660416,37409842.898201674,118656
2026-03-10 17:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,621,456.95516083050154,398.3767425140229,21935624.10758242,68288
2026-03-10 17:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,305,141.38850735042328,152.97593866435386,10407406.978302035,33408
2026-03-10 17:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,413,303.77963388138704,236.4678764969032,15092658.32250643,43840
2026-03-10 17:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,624,288.27597165200825,164.90919034190574,24365588.83958882,68800
2026-03-10 18:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,573,575.6429657484969,665.4495670820584,22168137.340998992,64128
2026-03-10 18:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,994,2094.5297426166458,4938.51749902525,35443692.799207896,109632
2026-03-10 18:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,906,701.8728356919597,989.342458949878,34929921.42460272,101632
2026-03-10 18:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,623,541.9341563056493,591.7302576641623,22983250.344848026,68992
2026-03-10 19:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1043,536.9447674001549,552.0843949638177,38049068.731623426,115328
2026-03-10 19:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1066,583.2965279543223,1049.2384576911402,40701790.18080942,117760
2026-03-10 19:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1005,349.7577889766262,481.1374446187509,37408091.5938204,112832
2026-03-10 19:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1054,502.7709825697915,1245.56843949212,38479027.60479143,114048
2026-03-10 20:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1243,428.9499761222271,1085.7920943620124,48268521.95319395,135936
2026-03-10 20:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,785,236.37845170383693,572.6220045419956,29728459.946461257,86080
2026-03-10 20:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,502,99.06162767382597,269.8731614282616,18184627.69142822,51328
2026-03-10 20:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,560,745.3403390661656,495.06151640312373,21207917.7005682,57216
2026-03-10 21:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,242,485.4402211157184,272.3320271473692,9443536.4273475,25728
2026-03-10 21:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,157,343.9529519359115,196.75595422009332,6018117.868468476,15936
2026-03-10 21:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,217,449.3940745743466,261.4177294641308,8464757.860710302,22784
2026-03-10 21:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,297,311.88090445385404,317.9939914796553,11652563.585371805,32128
2026-03-10 22:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,560,463.3764624284787,867.2126255037259,21540117.67756317,58944
2026-03-10 22:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,388,251.83438388471907,221.39332327143964,15248033.202209925,41600
2026-03-10 22:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,593,518.9946648909356,589.6036232941412,22744195.34551494,61248
2026-03-10 22:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,864,761.3245535658145,1305.601891623627,32207443.7422707,90368
2026-03-10 23:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,741,496.60627445088545,351.8936668754499,26285481.03685681,74304
2026-03-10 23:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,469,404.0288331167768,306.1414209955276,18225088.840593345,51328
2026-03-10 23:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,391,312.48538224775166,348.8317106139735,15028041.038511582,40704
2026-03-10 23:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,476,543.6683588227918,621.0649860095489,17928480.894368734,49024
