bucket_15m,site_id,vo,activity,site,jobs,energy_wh,cfp_g,work,ncores
2026-02-09 03:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,695.8174185,1587.560544,861.6086913,24283806.01,75990.34869
2026-02-09 03:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,241.6040082,382.6630138,201.2836616,8722840.638,26349.64252
2026-02-09 03:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,368.6211811,390.5044582,209.3433937,13162285.25,39370.15561
2026-02-09 03:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,801.4957064,3786.394645,2325.08817,25943548.27,84628.95834
2026-02-09 04:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,923.4321924,1223.05104,703.3903815,30306343.65,97399.07695
2026-02-09 04:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,643.994412,180.8505054,99.67381074,22840969.63,68165.52111
2026-02-09 04:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,635.8653129,406.8784939,233.7640349,23054909.34,66976.14732
2026-02-09 04:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,520.0256512,455.8621491,255.2890305,18332697.25,54832.01491
2026-02-09 05:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,550.5097727,923.7872862,623.592327,20557135.06,57774.15008
2026-02-09 05:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,503.7674531,480.2306316,315.0852081,18684861.07,53830.43698
2026-02-09 05:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2063.538336,495.2975207,416.5904476,77353839.07,216837.2451
2026-02-09 05:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1784.100556,928.3405219,637.5662184,67135036.61,185537.9348
2026-02-09 06:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1101.256234,238.8474867,206.5944905,41402739.69,113173.9294
2026-02-09 06:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2222.055768,524.3468261,307.195341,80479477.52,225788.8479
2026-02-09 06:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1642.85746,239.5188962,134.3538001,53962495.98,166507.9541
2026-02-09 06:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,917.3353681,465.247029,250.3399251,31734167.52,95521.11833
2026-02-09 07:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,759.8340737,674.8610189,391.1547421,27547072.42,79558.47007
2026-02-09 07:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,610.4618783,560.9137935,398.4113679,22749058.98,66788.35145
2026-02-09 07:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,527.1386129,457.1067678,267.1098466,19546974.55,56960.36801
2026-02-09 07:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,381.8309671,380.6035544,229.2688328,13765436.32,39808.34596
2026-02-09 08:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1161.20834,402.5663602,235.5617504,43765307.6,120059.7776
2026-02-09 08:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1484.340028,512.801743,310.3447311,55012767.87,149981.9183
2026-02-09 08:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1180.51495,429.5893557,268.2764357,42313162.32,120936.1583
2026-02-09 08:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,2074.715848,1047.022263,822.8997546,76407192.07,218777.8024
2026-02-09 09:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1634.728361,2354.072931,1947.003039,61854594.85,171766.2383
2026-02-09 09:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1072.804388,2589.290653,2456.529917,38206127.19,110356.9914
2026-02-09 09:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1344.113069,2705.496951,1920.253929,50012733.78,139214.9555
2026-02-09 09:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1262.822078,1254.05046,760.1266932,46766400.22,129574.768
2026-02-09 10:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,638.9137251,354.6824312,203.8781913,24070674.45,66224.96387
2026-02-09 10:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,778.1245466,978.199089,616.7863591,28835108.14,78556.89213
2026-02-09 10:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,535.267712,424.4311623,351.9283481,19724239,54456.42319
2026-02-09 10:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,685.6560447,375.4554485,266.0937812,25509780.35,74863.57352
2026-02-09 11:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,413.331226,270.0174645,149.1787109,15594042.7,44878.83423
2026-02-09 11:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,478.3640185,249.0579054,135.4210514,17079918.9,52766.26043
2026-02-09 11:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,629.7684886,315.4350757,253.7364082,23845342.02,68102.92249
2026-02-09 11:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,524.0902007,279.2944279,151.6113905,19566374.28,56522.17767
2026-02-09 12:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,642.9782746,452.3858448,319.0196385,24593123.04,68165.52111
2026-02-09 12:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,576.9293447,486.9379965,264.3017587,21717711.42,62469.04663
2026-02-09 12:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,661.2687475,666.6900575,393.1777714,25637713.84,70919.86042
2026-02-09 12:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,615.5425652,408.2458244,206.4417645,23060719.66,66412.75973
2026-02-09 13:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,626.7200765,341.9880648,244.2781541,23749629.29,68916.70456
2026-02-09 13:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,942.7388027,423.0611171,211.3866411,34479509.02,96522.69626
2026-02-09 13:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1158.159928,615.1552509,375.2414906,43995641.11,119558.9887
2026-02-09 13:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1323.790321,1303.834259,849.670183,50211561.61,139840.9417
2026-02-09 14:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,599.2843671,579.8776542,461.882871,22636671.65,62281.25077
2026-02-09 14:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1638.79291,1192.472549,588.8656869,63343490.57,171328.0479
2026-02-09 14:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,605.3811914,365.1931804,352.9523131,20988017.17,62782.03973
2026-02-09 14:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,946.8033522,347.6518232,289.6799395,32822612.44,96773.09074
2026-02-09 15:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1449.791357,549.9432102,353.0094264,51752908.58,148416.9528
2026-02-09 15:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,689.7205942,1026.399765,723.0525838,24607474.3,70544.26869
2026-02-09 15:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,483.4447054,279.8864611,189.5945284,16540387.1,47507.9763
2026-02-09 15:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,362.5243568,217.3512701,103.9595467,13086545.15,36240.22458
2026-02-09 16:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,844.1734765,222.9409407,99.43301742,32261633.6,86757.31144
2026-02-09 16:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1217.095896,417.8118317,215.4772237,47730107.74,126820.4287
