bucket_1h,site,jobs,energy_wh,cfp_g,work,ncores,ncores_per_job
2026-03-10 00:00:00,grid_site_b12846e4f4,2091,5990.801580658956,3616.8692072813164,74075817.80074814,230912,110.431373
2026-03-10 01:00:00,grid_site_b12846e4f4,2697,2187.565633775178,1294.8218067457065,96714504.6436247,293312,108.754913
2026-03-10 02:00:00,grid_site_b12846e4f4,4841,2737.411911564396,2000.657854469152,186770682.7775299,524992,108.447015
2026-03-10 03:00:00,grid_site_b12846e4f4,5807,1404.782180232153,898.3124055429826,210848687.33031815,613952,105.726193
2026-03-10 04:00:00,grid_site_b12846e4f4,2260,1998.253548028352,1288.6042453354405,85682750.55725315,248064,109.762832
2026-03-10 05:00:00,grid_site_b12846e4f4,5824,2310.4082083917924,1642.3073738524777,220863902.88237578,622912,106.956044
2026-03-10 06:00:00,grid_site_b12846e4f4,5247,8691.733421337665,7128.930232158761,200006093.05146956,562752,107.252144
2026-03-10 07:00:00,grid_site_b12846e4f4,2613,2056.356462004255,1442.4619951617524,100354153.01110059,279744,107.058553
2026-03-10 08:00:00,grid_site_b12846e4f4,2030,1057.6766032234011,688.2529451619384,78087333.96504103,226752,111.700493
2026-03-10 09:00:00,grid_site_b12846e4f4,2474,1940.2070728545627,1184.8478920072291,97193427.45422533,273472,110.538399
2026-03-10 10:00:00,grid_site_b12846e4f4,4004,2596.6534764408107,1686.1189158547065,155174340.37120268,433856,108.355644
2026-03-10 11:00:00,grid_site_b12846e4f4,3747,2401.768153178961,1699.0167998864708,142406834.5853395,401472,107.144916
2026-03-10 12:00:00,grid_site_b12846e4f4,2955,1998.3472170529592,1372.8868039403137,108277349.42080604,308992,104.565821
2026-03-10 13:00:00,grid_site_b12846e4f4,5850,3213.32359235517,3337.0362716809886,231498166.22196293,629568,107.618462
2026-03-10 14:00:00,grid_site_b12846e4f4,4594,2029.2355780885064,1631.7987373417388,176470797.72994527,494976,107.744014
2026-03-10 15:00:00,grid_site_b12846e4f4,4843,2197.1289598532867,3124.3177386603606,172456155.80093452,512640,105.851745
2026-03-10 16:00:00,grid_site_b12846e4f4,4706,3325.5398217198144,3579.721953838688,171375761.86922598,514496,109.327667
2026-03-10 17:00:00,grid_site_b12846e4f4,1963,1190.3992737143203,952.7297480171857,71801278.2479797,214336,109.187978
2026-03-10 18:00:00,grid_site_b12846e4f4,3096,3913.9797003627514,7185.039782721349,115525001.90965763,344384,111.235142
2026-03-10 19:00:00,grid_site_b12846e4f4,4168,1972.770066900895,3328.028736765829,154637978.11104468,459968,110.357006
2026-03-10 20:00:00,grid_site_b12846e4f4,3090,1509.7303945660556,2423.348776735393,117389527.29165164,330560,106.977346
2026-03-10 21:00:00,grid_site_b12846e4f4,913,1590.6681520798306,1048.4997023112487,35578975.74189808,96576,105.778751
2026-03-10 22:00:00,grid_site_b12846e4f4,2405,1995.530064769948,2983.811463692934,91739789.96755874,252160,104.848233
2026-03-10 23:00:00,grid_site_b12846e4f4,2077,1756.7888486382058,1627.9317844944999,77467091.81033047,215360,103.688012
